Empirical Data_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base year prices for selected items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current year prices for same items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55
5.35,26.77,6.69,1.87,4.02,1.18,0.73,0.86,1.5,1.55,6.66,0.77,8.03,1.23,3.05,2.41,1.07,3.06,51.93,1.18,21414.9,341.27,233.97,670.66,472.95,73.29,0.36,33.29,28.3,26.18,7.5,52.24,41.56,86.1,66.05,2081.38,1411.29,466.64,10.18,1.34,0.74,8.3,1.51,0.95,0.82,0.68,1.59,0.94,1.27,1.02,0.88,6.61,24202.32,319.11,7182.89,15.35,36.77,14.69,11.87,14.02,10.18,10.73,10.86,11.5,11.55,16.66,10.77,8.03,1.23,3.05,2.41,11.07,3.06,61.93,1.18,21424.9,350.27,243.97,680.66,480.95,83.29,10.36,43.29,38.3,30.18,17.5,62.24,51.56,96.1,76.05,2091.38,1421.29,476.64,15.18,11.34,10.74,18.3,11.51,7.95,10.82,5.68,11.59,6.94,11.27,11.02,9.88,16.61,24203.32,324.11,7187.89
5.83,23.3,4.66,1.17,1.75,0.93,0.56,1.14,0.57,1.74,6.17,0.53,4.66,0.71,1.12,3.2,0.82,5.12,29.13,1.28,20387.89,280.58,210.98,526.4,386.65,96.36,0.16,11.2,23.77,11.16,6.41,50.8,27.65,74.07,69.81,1157.3,783.57,569.57,4.35,0.52,0.47,7.69,1.11,1.17,0.56,0.59,1.23,1.2,1.43,1.44,0.57,7.73,19402.19,315.9,4262.02,15.83,33.3,12.66,11.17,11.75,9.93,10.56,11.14,10.57,11.74,16.17,10.53,4.66,0.71,1.12,3.2,10.82,5.12,39.13,1.28,20397.89,289.58,220.98,536.4,394.65,106.36,10.16,21.2,33.77,15.16,16.41,60.8,37.65,84.07,79.81,1167.3,793.57,579.57,9.35,10.52,10.47,17.69,11.11,8.17,10.56,5.59,11.23,7.2,11.43,11.44,9.57,17.73,19403.19,320.9,4267.02
11.3,48.95,7.53,4.52,5.27,1.6,1.32,1.69,2.11,2.49,9.27,1.68,11.3,1.9,2.43,10.54,2.26,9.78,71.54,0.95,18476.95,900.76,738.42,1494.83,1205.2,110.41,0.24,55.19,36.98,14.6,9.79,47.43,32.76,74.81,93.59,4342.15,2939.31,2363.69,3.5,2.82,1.39,24.75,2.93,2.93,1.89,1.72,3.05,2.97,2.84,1.29,1.88,10.6,17267.82,711.52,11500.94,21.3,58.95,15.53,14.52,15.27,10.6,11.32,11.69,12.11,12.49,19.27,11.68,11.3,1.9,2.43,10.54,12.26,9.78,81.54,0.95,18486.95,909.76,748.42,1504.83,1213.2,120.41,10.24,65.19,46.98,18.6,19.79,57.43,42.76,84.81,103.59,4352.15,2949.31,2373.69,8.5,12.82,11.39,34.75,12.93,9.93,11.89,6.72,13.05,8.97,12.84,11.29,10.88,20.6,17268.82,716.52,11505.94
7.47,38.86,5.98,2.99,3.74,1.22,1,1.18,1.24,2.68,9.17,1.33,5.98,1.38,2.01,5.23,1.05,5.19,47.83,1.2,17040.15,465.97,375.37,830.46,677.37,121.79,0.14,39.47,37.53,20.85,7.47,52.22,32.9,64.14,82.23,2361.94,1983.23,804.49,4.06,0.45,1.2,11.66,1.38,1.21,1.03,1.11,2.6,1.39,1.43,1.18,1.21,9.52,15945.74,389.77,6730.83,17.47,48.86,13.98,12.99,13.74,10.22,11,11.18,11.24,12.68,19.17,11.33,5.98,1.38,2.01,5.23,11.05,5.19,57.83,1.2,17050.15,474.97,385.37,840.46,685.37,131.79,10.14,49.47,47.53,24.85,17.47,62.22,42.9,74.14,92.23,2371.94,1993.23,814.49,9.06,10.45,11.2,21.66,11.38,8.21,11.03,6.11,12.6,7.39,11.43,11.18,10.21,19.52,15946.74,394.77,6735.83
3.25,22.18,4.44,0.89,2.37,0.49,0.3,1.89,1.51,1.68,12.84,0.58,10.35,0.76,1.91,2.96,0.3,3.72,17.74,1.04,20697.7,534.41,308.61,1192.96,640.24,52.62,0.03,14.86,37.21,11.05,7.39,59.67,36.18,86.9,88.88,7125.43,3636.88,909.32,5.04,1.48,0.35,5.17,1.68,1.68,0.86,0.63,3.98,0.96,1.15,1.02,0.99,9.85,19324.37,510.13,19959.71,13.25,32.18,12.44,10.89,12.37,9.49,10.3,11.89,11.51,11.68,22.84,10.58,10.35,0.76,1.91,2.96,10.3,3.72,27.74,1.04,20707.7,543.41,318.61,1202.96,648.24,62.62,10.03,24.86,47.21,15.05,17.39,69.67,46.18,96.9,98.88,7135.43,3646.88,919.32,10.04,11.48,10.35,15.17,11.68,8.68,10.86,5.63,13.98,6.96,11.15,11.02,9.99,19.85,19325.37,515.13,19964.71
3.19,19.11,4.78,0.96,1.91,0.69,0.61,0.8,0.91,1.45,2.86,0.9,7.96,0.8,1.65,1.59,0.7,3.54,31.86,0.76,16247.21,281,230.79,498.67,411.7,70.78,0.05,31.65,28.91,9.15,3.82,54.58,36.06,77.25,67.49,1371.26,1063.12,320.15,12.21,1.5,1.43,6.37,1.64,0.91,0.68,0.77,1.23,0.93,0.86,0.76,0.8,4.39,20588.27,179.71,4299.08,13.19,29.11,12.78,10.96,11.91,9.69,10.61,10.8,10.91,11.45,12.86,10.9,7.96,0.8,1.65,1.59,10.7,3.54,41.86,0.76,16257.21,290,240.79,508.67,419.7,80.78,10.05,41.65,38.91,13.15,13.82,64.58,46.06,87.25,77.49,1381.26,1073.12,330.15,17.21,11.5,11.43,16.37,11.64,7.91,10.68,5.77,11.23,6.93,10.86,10.76,9.8,14.39,20589.27,184.71,4304.08
7,33.29,6.66,2.5,3.33,1.43,1.28,1.31,1.79,2.52,5.66,1.9,9.99,1.51,2.39,3.33,0.69,7.24,39.12,1.04,22827.65,480.09,354.14,844.55,654.72,78.64,0.06,58.13,50.37,16.09,5.16,62.54,44.18,98.28,93.8,1535.1,1220.94,725.5,9.57,1.08,1.12,9.99,3.71,2.04,1.96,0.85,2.44,2.03,2.12,1.14,1.65,8.14,24583.99,361.36,7782.87,17,43.29,14.66,12.5,13.33,10.43,11.28,11.31,11.79,12.52,15.66,11.9,9.99,1.51,2.39,3.33,10.69,7.24,49.12,1.04,22837.65,489.09,364.14,854.55,662.72,88.64,10.06,68.13,60.37,20.09,15.16,72.54,54.18,108.28,103.8,1545.1,1230.94,735.5,14.57,11.08,11.12,19.99,13.71,9.04,11.96,5.85,12.44,8.03,12.12,11.14,10.65,18.14,24584.99,366.36,7787.87
7.67,30.67,5.37,2.3,2.45,2.06,1.4,0.9,0.88,2.27,8.41,1.02,5.76,1.16,1.58,4.14,1.53,7.57,52.15,1.52,21472.39,381.84,277.96,638.39,462.86,184.69,0.11,24.98,37.36,10.69,5.37,80.43,34.63,80.91,89.58,2324.28,1631.54,850.15,4.68,2.76,0.92,6.13,1.31,1.45,0.68,0.85,1.59,1.7,1.52,1.67,0.85,9.54,21350.07,150.36,6354.83,17.67,40.67,13.37,12.3,12.45,11.06,11.4,10.9,10.88,12.27,18.41,11.02,5.76,1.16,1.58,4.14,11.53,7.57,62.15,1.52,21482.39,390.84,287.96,648.39,470.86,194.69,10.11,34.98,47.36,14.69,15.37,90.43,44.63,90.91,99.58,2334.28,1641.54,860.15,9.68,12.76,10.92,16.13,11.31,8.45,10.68,5.85,11.59,7.7,11.52,11.67,9.85,19.54,21351.07,155.36,6359.83
11.39,45.55,6.83,3.42,4.56,1.67,0.81,1.51,1.56,2.85,8.2,0.85,5.69,1.17,1.67,5.47,1.71,7.57,45.55,1.45,19586.68,639.98,521.57,1066.69,845.7,119.34,0.1,45.35,55.53,15.4,9.11,72.54,39.07,78.57,92.42,2173.53,1610.79,1250.37,3.72,4.56,0.83,14.61,1.97,1.38,0.83,0.42,3.43,1.62,1.93,1.49,0.84,9.61,20109.17,341.75,7266.36,21.39,55.55,14.83,13.42,14.56,10.67,10.81,11.51,11.56,12.85,18.2,10.85,5.69,1.17,1.67,5.47,11.71,7.57,55.55,1.45,19596.68,648.98,531.57,1076.69,853.7,129.34,10.1,55.35,65.53,19.4,19.11,82.54,49.07,88.57,102.42,2183.53,1620.79,1260.37,8.72,14.56,10.83,24.61,11.97,8.38,10.83,5.42,13.43,7.62,11.93,11.49,9.84,19.61,20110.17,346.75,7271.36
5.35,26.76,5.8,1.43,1.78,1.27,0.96,0.8,0.97,1.89,8.06,0.56,4.91,0.68,1.23,4.46,1.07,6.11,22.3,1.43,19174.77,587.56,466.2,1006.88,734.64,180.5,0.14,20.12,34.74,11.12,7.58,68.67,35.1,79.41,98.27,3786.61,2586.68,1054.11,2.5,1.78,1.11,13.38,1.34,1.53,0.7,0.95,1.94,1.5,1.87,1.35,0.65,9.79,19717.38,378.57,7893.87,15.35,36.76,13.8,11.43,11.78,10.27,10.96,10.8,10.97,11.89,18.06,10.56,4.91,0.68,1.23,4.46,11.07,6.11,32.3,1.43,19184.77,596.56,476.2,1016.88,742.64,190.5,10.14,30.12,44.74,15.12,17.58,78.67,45.1,89.41,108.27,3796.61,2596.68,1064.11,7.5,11.78,11.11,23.38,11.34,8.53,10.7,5.95,11.94,7.5,11.87,11.35,9.65,19.79,19718.38,383.57,7898.87
16.78,76.28,10.68,6.48,6.1,3.19,2.38,1.21,2.36,3.49,11.23,1.36,9.15,1.82,2.22,6.71,3.43,9.15,60.26,1.61,36154.5,1009.8,736.99,1881.1,1374.07,184.66,0.13,35.96,35.46,25.27,15.26,105.56,42.25,114.14,151.42,4944.78,3366.74,3008.25,2.09,6.87,2.37,64.08,2.7,2.94,1.74,1.66,5.31,2.07,3.18,2.5,1.35,13.86,38248.84,476.78,6359.14,26.78,86.28,18.68,16.48,16.1,12.19,12.38,11.21,12.36,13.49,21.23,11.36,9.15,1.82,2.22,6.71,13.43,9.15,70.26,1.61,36164.5,1018.8,746.99,1891.1,1382.07,194.66,10.13,45.96,45.46,29.27,25.26,115.56,52.25,124.14,161.42,4954.78,3376.74,3018.25,7.09,16.87,12.37,74.08,12.7,9.94,11.74,6.66,15.31,8.07,13.18,12.5,10.35,23.86,38249.84,481.78,6364.14
6.95,39.69,6.95,1.98,2.98,0.86,0.44,1.18,1.33,1.83,6.13,0.98,7.94,1.94,2.92,3.97,0.5,5.23,29.77,1.19,23813.56,329.71,185.24,670.31,358.53,60.16,0.18,51.88,29.53,14.09,5.71,50.87,49.73,83.08,88.64,1208.41,607.83,332.46,13.23,3.97,2.98,4.96,1.97,1.28,1.19,1.01,1.58,1.05,0.94,0.8,1.24,6.2,26777.25,200.23,6960.18,16.95,49.69,14.95,11.98,12.98,9.86,10.44,11.18,11.33,11.83,16.13,10.98,7.94,1.94,2.92,3.97,10.5,5.23,39.77,1.19,23823.56,338.71,195.24,680.31,366.53,70.16,10.18,61.88,39.53,18.09,15.71,60.87,59.73,93.08,98.64,1218.41,617.83,342.46,18.23,13.97,12.98,14.96,11.97,8.28,11.19,6.01,11.58,7.05,10.94,10.8,10.24,16.2,26778.25,205.23,6965.18
3.5,25,6,1.5,3,0.75,0.48,0.94,1.53,1.7,5.56,1.02,12,1.16,2.49,5.5,0.25,5.73,12,0.46,27000,378.18,282.03,626.89,479.72,43.21,0.14,39,44.04,15.65,6,66.1,53.84,104.38,92.5,1434.91,1161.88,506.32,10.83,1.5,1.5,10,2.1,1.46,0.97,0.61,2.1,1.27,1.24,1.03,1.12,5.9,30608.92,291.67,5922.86,13.5,35,14,11.5,13,9.75,10.48,10.94,11.53,11.7,15.56,11.02,12,1.16,2.49,5.5,10.25,5.73,22,0.46,27010,387.18,292.03,636.89,487.72,53.21,10.14,49,54.04,19.65,16,76.1,63.84,114.38,102.5,1444.91,1171.88,516.32,15.83,11.5,11.5,20,12.1,8.46,10.97,5.61,12.1,7.27,11.24,11.03,10.12,15.9,30609.92,296.67,5927.86
3.35,16.74,4.18,1.67,2.23,0.3,0.2,0.78,0.52,1.07,2.87,0.27,8.37,1.3,1.72,2.12,0.22,3.91,8.37,0.37,25107.96,161.75,97.77,307.15,186.05,21.36,0.01,16.51,22.73,6.55,4.18,41.46,46.81,108.07,64.72,598.08,341.63,173.45,13.8,0.33,0.14,1.39,1.41,0.38,0.37,0.25,1.56,0.62,0.37,0.65,0.31,7.99,22421.48,111.71,2439.12,13.35,26.74,12.18,11.67,12.23,9.3,10.2,10.78,10.52,11.07,12.87,10.27,8.37,1.3,1.72,2.12,10.22,3.91,18.37,0.37,25117.96,170.75,107.77,317.15,194.05,31.36,10.01,26.51,32.73,10.55,14.18,51.46,56.81,118.07,74.72,608.08,351.63,183.45,18.8,10.33,10.14,11.39,11.41,7.38,10.37,5.25,11.56,6.62,10.37,10.65,9.31,17.99,22422.48,116.71,2444.12
7.97,44.41,6.38,3.42,3.99,1.62,1.17,0.8,0.8,1.56,7.78,0.72,7.97,1.5,1.66,4.56,1.71,6.12,26.19,1.53,19452.3,508.67,357.01,875.44,580.77,208.74,0.05,24.74,49.95,23.91,8.6,83.93,30.58,80.56,103.04,2593.55,1727.29,1162.84,2.66,2.85,0.68,12.53,1.06,1.51,0.43,1.25,2.71,1.32,2.04,1.22,0.44,8.81,19221.4,362.18,15777.79,17.97,54.41,14.38,13.42,13.99,10.62,11.17,10.8,10.8,11.56,17.78,10.72,7.97,1.5,1.66,4.56,11.71,6.12,36.19,1.53,19462.3,517.67,367.01,885.44,588.77,218.74,10.05,34.74,59.95,27.91,18.6,93.93,40.58,90.56,113.04,2603.55,1737.29,1172.84,7.66,12.85,10.68,22.53,11.06,8.51,10.43,6.25,12.71,7.32,12.04,11.22,9.44,18.81,19222.4,367.18,15782.79
12.53,68.33,8.54,6.83,6.21,2.52,1.74,1.06,2.01,2.02,6.94,1.57,13.67,2.32,2.9,7.97,3.42,10.71,62.29,1.72,27330.25,825.27,645.24,1393.15,1074.75,137.13,0.08,26.87,42.66,25.34,14.8,95.3,37.15,95.29,127.54,5030.38,3116.47,2555.13,1.47,6.83,1.82,53.54,2.3,2.05,0.99,1.9,3.83,1.95,3.17,1.71,1.42,15.5,27603.34,323.67,8951.89,22.53,78.33,16.54,16.83,16.21,11.52,11.74,11.06,12.01,12.02,16.94,11.57,13.67,2.32,2.9,7.97,13.42,10.71,72.29,1.72,27340.25,834.27,655.24,1403.15,1082.75,147.13,10.08,36.87,52.66,29.34,24.8,105.3,47.15,105.29,137.54,5040.38,3126.47,2565.13,6.47,16.83,11.82,63.54,12.3,9.05,10.99,6.9,13.83,7.95,13.17,11.71,10.42,25.5,27604.34,328.67,8956.89
14.8,56.94,9.11,6.02,5.12,2.67,1.74,1.07,1.49,2.93,16.97,0.67,6.83,1.76,2.23,9.05,1.82,11.48,61.49,1.62,22775.2,748.76,587.5,1502.49,1118.99,158.55,0.22,31.41,42.07,17.36,11.39,93.65,37,95.75,128.54,6803.85,4290.06,2093.83,1.77,5.69,2.05,39.54,2.69,2.5,1.76,1.24,3,1.9,2.74,2.15,1.97,18.13,24628.39,741.38,23024.76,24.8,66.94,17.11,16.02,15.12,11.67,11.74,11.07,11.49,12.93,26.97,10.67,6.83,1.76,2.23,9.05,11.82,11.48,71.49,1.62,22785.2,757.76,597.5,1512.49,1126.99,168.55,10.22,41.41,52.07,21.36,21.39,103.65,47,105.75,138.54,6813.85,4300.06,2103.83,6.77,15.69,12.05,49.54,12.69,9.5,11.76,6.24,13,7.9,12.74,12.15,10.97,28.13,24629.39,746.38,23029.76
5.63,18.76,4.88,0.94,1.5,0.46,0.19,1.19,0.34,1.31,3.77,0.4,4.5,0.83,1.25,1.73,0.19,3.41,11.26,0.9,11257.04,281.37,176.4,557.15,330.22,60.3,0.09,15.84,36.05,9.15,5.25,50.97,29.2,76.26,87.08,944.59,522.48,289.83,11.58,1.13,0.23,1.88,0.93,1.13,0.43,0.51,1.45,0.98,0.94,1.32,0.43,5.74,13570.09,111.27,2173.64,15.63,28.76,12.88,10.94,11.5,9.46,10.19,11.19,10.34,11.31,13.77,10.4,4.5,0.83,1.25,1.73,10.19,3.41,21.26,0.9,11267.04,290.37,186.4,567.15,338.22,70.3,10.09,25.84,46.05,13.15,15.25,60.97,39.2,86.26,97.08,954.59,532.48,299.83,16.58,11.13,10.23,11.88,10.93,8.13,10.43,5.51,11.45,6.98,10.94,11.32,9.43,15.74,13571.09,116.27,2178.64
